65.353633553 10.10.1.1:59564 10.10.2.2:5001 32 0xa7ff3032 0xa7fefd32 10 2147483647 28960 1315 29312
65.353853348 10.10.1.1:59566 10.10.2.2:5001 32 0x567d3a47 0x567d0747 10 2147483647 28960 467 29312
65.353887158 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f578d 0xcc1f248d 10 2147483647 28960 489 29312
65.355140306 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f578d 0xcc1f24a5 11 2147483647 29056 545 29312
65.367090071 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f73d5 0xcc1f2a4d 12 2147483647 31872 732 29312
65.379094832 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f73d5 0xcc1f2ff5 13 2147483647 34816 2391 29312
65.391049078 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f84cd 0xcc1f359d 14 2147483647 37760 5342 29312
65.402974237 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f901d 0xcc1f3b45 15 2147483647 40576 9420 29312
65.415074628 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1f9b6d 0xcc1f40ed 16 2147483647 43520 14478 29312
65.427032199 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1fa6bd 0xcc1f4695 17 2147483647 46336 20414 29312
65.439039923 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1fb20d 0xcc1f4c3d 18 2147483647 49280 27103 29312
65.451350909 10.10.1.1:59568 10.10.2.2:5001 32 0xcc1fbd5d 0xcc1f51e5 19 2147483647 52224 34456 29312
65.462946228 10.10.1.1:59566 10.10.2.2:5001 32 0x567d3a47 0x567d075f 11 2147483647 29056 536 29312
65.474946094 10.10.1.1:59566 10.10.2.2:5001 32 0x567d50e7 0x567d0d07 12 2147483647 31872 14187 29312
65.486883243 10.10.1.1:59566 10.10.2.2:5001 32 0x567d5c37 0x567d12af 13 2147483647 34816 27632 29312
65.498978533 10.10.1.1:59566 10.10.2.2:5001 32 0x567d6787 0x567d1857 14 2147483647 37760 40888 29312
65.510920250 10.10.1.1:59566 10.10.2.2:5001 32 0x567d72d7 0x567d1dff 15 2147483647 40576 53999 29312
65.522873892 10.10.1.1:59566 10.10.2.2:5001 32 0x567d7e27 0x567d23a7 16 2147483647 43520 66965 29312
65.534825021 10.10.1.1:59566 10.10.2.2:5001 32 0x567d8977 0x567d294f 17 2147483647 46336 79802 29312
65.546929053 10.10.1.1:59566 10.10.2.2:5001 32 0x567d94c7 0x567d2ef7 18 2147483647 49280 92528 29312
65.558989910 10.10.1.1:59566 10.10.2.2:5001 32 0x567da017 0x567d349f 19 2147483647 52224 105176 29312
